nombre,estilo,alcohol_%,min_IBU,max_IBU,astringencia,cuerpo,alcohol_gr/lt,amargor,dulzor,acidez,salado,frutado,lupulo,especias,malteado,opinion_aroma,opinion_apariencia,opinion_paladar,opinion_sabor,opinion_general
Cold Hop British-Style Ale,IPA - English,6.8,35,60,24,60,15,98,90,78,0,98,16,8,98,3.79,3.8,3.79,3.85,3.94
Bad Elf Winter's Ale,IPA - English,6.0,35,60,24,34,12,64,43,40,1,46,16,25,70,3.61,3.66,3.63,3.66,3.75
Naughty 90,IPA - English,8.0,35,60,17,40,21,57,54,24,0,33,73,29,102,4.38,4.0,4.62,4.75,4.5
ImPaled Ale,IPA - English,6.5,35,60,33,51,17,79,67,58,0,63,102,3,83,3.73,3.97,3.76,3.8,3.81
India Pale Ale,IPA - English,5.5,35,60,11,38,12,73,42,38,0,32,108,12,69,3.21,3.61,3.46,3.41,3.47
Kennebunkport IPA,IPA - English,6.2,35,60,8,23,11,43,34,16,1,16,62,2,36,2.72,3.41,3.11,4.0,2.88
Hopnotic India Pale Ale,IPA - English,6.5,35,60,23,56,10,96,50,68,0,91,16,10,60,3.12,3.55,3.39,3.28,3.47
Fuller's India Pale Ale,IPA - English,4.9,35,60,10,31,8,57,28,34,0,33,89,6,53,3.83,3.93,3.85,3.96,4.08
El Guapo Agave IPA,IPA - English,7.5,35,60,17,23,18,30,29,28,0,31,46,5,24,3.0,3.5,3.33,3.33,3.33
Worthington's White Shield,IPA - English,5.6,35,60,25,44,10,58,48,46,1,46,96,17,82,3.82,4.08,3.86,3.89,3.93
Old East India Pale Ale,IPA - English,6.2,35,60,16,39,5,79,56,32,0,36,107,6,69,3.38,3.68,3.5,3.47,3.61
Duke Of Wellington India Pale Ale,IPA - English,5.2,35,60,6,27,7,64,30,35,1,37,88,4,51,3.32,3.51,3.35,3.33,3.35
Deuchars IPA,IPA - English,4.4,35,60,27,53,5,57,20,29,1,31,90,18,59,3.78,3.72,3.74,3.89,4.02
Southampton Burton IPA,IPA - English,6.5,35,60,20,33,18,89,77,61,0,67,16,7,100,3.92,3.89,3.86,3.94,4.14
Greene King IPA,IPA - English,3.6,35,60,15,52,5,52,20,12,0,11,63,19,37,3.23,3.53,3.25,3.24,3.43
Flagship IPA,IPA - English,5.9,35,60,16,44,7,78,37,31,0,35,16,5,80,3.53,3.66,3.62,3.7,3.7
St-Ambroise India Pale Ale,IPA - English,6.2,35,60,24,37,21,25,51,77,1,85,16,14,92,3.57,3.8,3.59,3.64,3.57
Proper Job,IPA - English,5.5,35,60,25,40,3,59,27,43,0,53,83,12,33,3.64,3.72,3.83,3.94,4.0
Dead Elephant,IPA - English,6.5,35,60,22,34,12,63,62,57,0,75,90,8,63,3.52,3.74,3.67,3.63,3.67
Dead Horse IPA,IPA - English,5.7,35,60,13,57,26,77,44,44,2,50,107,7,86,3.56,3.69,3.69,3.71,3.72
Trinity IPA,IPA - English,7.0,35,60,30,42,8,25,42,44,0,51,16,8,82,3.6,3.84,3.57,3.6,3.66
India Pale Ale,IPA - English,5.5,35,60,20,34,5,80,48,54,0,58,97,8,61,3.58,3.86,3.79,3.7,3.73
90 Minute IPA,IPA - Imperial,9.0,20,40,3,15,13,44,40,31,1,36,56,5,42,4.21,4.19,4.18,4.33,4.15
Pliny The Elder,IPA - Imperial,8.0,20,40,26,29,9,58,51,49,0,80,85,1,32,4.61,4.39,4.45,4.63,4.59
Lagunitas Sucks,IPA - Imperial,7.85,20,40,10,34,10,48,53,43,0,56,62,8,39,4.38,3.98,4.09,4.31,4.26
120 Minute IPA,IPA - Imperial,5.0,20,40,9,43,7,55,89,42,0,58,63,18,60,4.0,4.03,3.89,3.92,3.55
West Coast IPA,IPA - Imperial,8.1,20,40,19,31,14,97,44,65,0,76,16,9,45,4.26,4.11,4.05,4.2,4.11
Hop Stoopid,IPA - Imperial,8.0,20,40,28,30,15,84,42,43,0,56,98,2,36,4.24,4.07,4.05,4.17,4.16
Double Jack,IPA - Imperial,9.5,20,40,22,38,21,53,76,77,0,118,78,3,61,4.29,4.17,4.1,4.25,4.19
Burton Baton,IPA - Imperial,10.0,20,40,7,49,19,40,55,39,1,54,57,22,53,4.11,4.15,4.12,4.23,4.02
Double Trouble,IPA - Imperial,9.4,20,40,18,55,35,64,42,46,0,55,91,4,46,4.24,4.01,4.08,4.22,4.1
Hoptimum,IPA - Imperial,10.6,20,40,17,45,34,79,54,53,1,73,101,1,59,4.05,4.19,3.97,4.04,3.85
Dreadnaught IPA,IPA - Imperial,9.5,20,40,18,40,21,45,51,62,2,93,59,0,46,4.46,4.25,4.32,4.46,4.33
Maharaja,IPA - Imperial,10.2,20,40,13,25,17,59,49,60,1,56,83,5,57,4.25,4.2,4.11,4.22,4.04
Maximus,IPA - Imperial,8.2,20,40,23,36,29,62,82,57,0,99,88,2,47,3.91,3.97,3.87,3.92,3.91
Devil Dancer,IPA - Imperial,5.0,20,40,16,37,37,76,68,45,1,74,98,3,78,4.09,4.0,3.99,4.02,3.73
2XIPA,IPA - Imperial,8.2,20,40,18,31,14,67,42,46,0,45,89,1,35,4.02,3.92,3.96,4.04,4.08
Abrasive Ale,IPA - Imperial,9.2,20,40,23,34,16,78,73,69,0,111,103,7,47,4.5,4.25,4.3,4.45,4.43
Hercules Double IPA,IPA - Imperial,10.0,20,40,15,43,24,84,61,59,0,91,16,14,93,4.16,4.19,4.13,4.2,4.06
Perpetual IPA,IPA - Imperial,7.5,20,40,15,24,18,59,26,31,1,32,84,4,22,4.13,4.15,4.06,4.14,4.12
Pure Hoppiness,IPA - Imperial,8.0,20,40,12,31,15,99,41,43,0,59,16,7,39,4.37,4.22,4.21,4.35,4.35
Arctic Panzer Wolf,IPA - Imperial,9.0,20,40,15,31,13,53,57,42,0,73,78,7,38,4.19,3.97,4.09,4.17,4.11
Pliny The Younger,IPA - Imperial,10.25,20,40,23,46,14,73,29,40,0,49,106,4,19,4.72,4.48,4.61,4.72,4.6
Unearthly (Imperial India Pale Ale),IPA - Imperial,9.5,20,40,17,46,23,61,64,51,1,74,100,10,50,4.12,4.11,4.08,4.15,4.02
A Little Sumpin' Extra! Ale,IPA - Imperial,8.7,20,40,12,39,21,53,48,51,0,67,69,3,40,4.18,4.15,4.05,4.14,4.13
Myrcenary Double IPA,IPA - Imperial,9.3,20,40,9,50,30,56,37,42,0,71,97,1,25,4.28,4.12,4.13,4.32,4.26
Gubna,IPA - Imperial,10.0,20,40,13,33,22,70,52,57,1,81,93,7,53,3.77,3.95,3.81,3.64,3.52
Dorado,IPA - Imperial,10.0,20,40,11,34,18,67,57,72,2,92,89,3,47,4.25,4.15,4.13,4.25,4.14
Double Crooked Tree IPA,IPA - Imperial,5.0,20,40,9,42,42,54,58,24,0,33,65,6,74,4.09,3.97,4.07,4.19,4.02
Lake Erie Monster,IPA - Imperial,9.5,20,40,20,38,22,80,61,68,1,77,100,4,60,3.89,4.07,4.01,3.98,3.92
Green Flash Imperial India Pale Ale,IPA - Imperial,9.0,20,40,17,43,23,92,60,57,0,70,16,3,61,4.13,4.12,4.0,4.04,3.97
Hop Henge,IPA - Imperial,8.3,20,40,17,49,23,65,54,10,1,117,92,5,42,4.07,4.17,4.03,4.09,4.05
Double Sunshine,IPA - Imperial,8.0,20,40,17,32,23,82,54,67,1,109,102,4,30,4.59,4.32,4.31,4.55,4.59
Ruination Double IPA 2.0,IPA - Imperial,8.5,20,40,21,37,25,95,50,55,0,83,16,0,26,4.34,4.18,4.18,4.35,4.16
The Waldos' Special Ale,IPA - Imperial,5.0,20,40,12,33,40,72,86,53,1,69,102,13,55,4.3,3.9,3.8,3.8,3.7
Hop JuJu,IPA - Imperial,9.0,20,40,9,13,18,67,25,48,0,66,96,5,13,4.31,4.08,4.14,4.22,4.03
471 Small Batch IPA,IPA - Imperial,9.2,20,40,6,19,25,38,45,30,0,46,47,3,36,3.86,3.94,3.89,3.91,3.9
Heady Topper,IPA - New England,8.0,20,70,16,42,18,91,40,55,0,76,16,2,30,4.66,4.16,4.41,4.61,4.63
Abner,IPA - New England,8.2,20,70,25,30,8,68,50,79,0,6,88,3,24,4.41,4.18,4.26,4.46,4.43
Ephraim,IPA - New England,10.0,20,70,17,31,14,68,32,49,1,58,91,7,29,4.57,4.3,4.35,4.49,4.43
Fiddlehead IPA,IPA - New England,6.2,20,70,13,45,3,55,51,83,2,130,71,5,30,4.0,4.0,4.0,4.25,4.25
Ochakovskiy Kvass,Kvass,2.0,0,0,5,49,15,28,92,23,0,34,9,7,92,2.96,3.31,4.0,4.0,4.0
Kvas,Kvass,5.0,0,0,14,42,10,22,109,47,0,49,7,8,128,3.12,3.65,3.62,3.63,3.46
Monastyrskiy Kvas,Kvass,1.5,0,0,8,34,4,15,84,16,1,33,14,7,68,3.19,4.0,2.81,3.06,3.06
Kvass,Kvass,2.0,0,0,13,19,12,11,35,44,0,43,17,4,42,3.59,3.88,3.69,3.69,3.75
Khlebny Kray,Kvass,1.2,0,0,8,32,4,17,89,17,0,42,5,7,71,3.07,3.47,4.0,2.9,4.0
Nicola Traditional,Kvass,1.2,0,0,6,21,3,8,55,10,0,18,1,4,62,3.3,3.35,3.15,3.3,3.05
Kvas Taras (квас тарас),Kvass,1.2,0,0,5,22,9,6,71,25,0,30,5,2,86,3.71,3.43,3.29,3.5,3.43
Duonos Gira Kvass,Kvass,5.0,0,0,9,15,2,5,56,24,0,16,4,1,48,3.12,3.25,2.75,2.88,4.0
Monastyrskiy Okroshka Kvass (Монастырский Окрошка Квас),Kvass,1.5,0,0,11,15,4,7,38,12,1,8,2,0,37,3.5,3.25,2.88,3.62,3.62
Nesher Malt,Kvass,1.5,0,0,1,10,4,10,35,0,0,2,5,0,38,3.0,3.25,3.25,4.0,4.0
Obolon Kwas Chlebowy,Kvass,1.5,0,0,7,21,2,14,47,12,0,18,3,3,72,3.36,3.07,4.0,3.07,3.29
Krushka & Bochka Kvass,Kvass,1.5,0,0,2,7,2,4,23,10,0,6,0,2,29,3.36,3.07,3.29,3.29,3.29
Monastyrskiy Black Currant Kvas,Kvass,1.5,0,0,2,7,0,0,44,14,0,27,0,2,12,4.1,3.6,3.1,3.6,3.5
Danilo Classic Kvas,Kvass,1.5,0,0,5,15,4,3,28,9,0,6,1,2,26,3.0,3.08,2.92,3.33,3.25
Danilo Okroshka Kvas,Kvass,1.5,0,0,1,8,0,1,16,2,0,5,3,1,10,3.5,3.5,2.83,2.83,4.0
Danilo Pohmilny Kvas,Kvass,1.5,0,0,4,8,3,3,19,6,0,4,1,4,19,3.0,4.0,3.25,3.25,3.0
Malty,Kvass,5.0,0,0,3,8,4,4,11,1,0,1,1,0,25,3.17,3.5,3.0,3.5,3.83
Smetoniška Gira,Kvass,1.2,0,0,2,4,2,1,14,3,0,5,1,1,16,3.17,3.5,3.67,3.17,3.5
Brordinskiy Classical Kvass (Бородинский Классический Квас),Kvass,1.2,0,0,2,4,2,2,15,8,0,7,1,1,30,3.75,4.0,3.25,3.75,3.75
Drevlyansky Kvass,Kvass,1.5,0,0,0,3,3,1,13,10,0,7,0,0,13,4.0,3.5,3.5,4.5,4.5
Olimpia Kvas,Kvass,1.5,0,0,0,1,0,0,0,1,0,1,0,0,0,3.0,3.25,3.0,3.75,3.5
Summertime,Kölsch,5.0,18,25,28,33,7,33,38,37,1,45,54,4,57,3.41,3.51,3.52,3.54,3.86
Reissdorf Kölsch,Kölsch,4.8,18,25,36,34,4,32,22,9,0,7,58,12,87,3.59,3.79,3.81,3.85,4.1
Gaffel Kölsch,Kölsch,4.8,18,25,32,25,6,29,19,18,1,16,50,2,45,3.43,3.69,3.7,3.62,3.94
Fancy Lawnmower,Kölsch,4.9,18,25,31,20,11,29,30,26,1,17,51,0,27,3.37,3.48,3.64,3.58,3.93
Samuel Adams East-West KölschBoston Beer Company (Samuel Adams),Kölsch,5.01,18,25,30,39,4,42,38,24,0,32,74,11,74,3.52,3.72,3.79,3.68,3.7
Full Circle,Kölsch,4.9,18,25,39,44,9,25,41,29,0,29,36,4,53,3.48,3.53,3.7,3.64,3.88
Santo,Kölsch,4.7,18,25,16,41,4,24,26,6,0,5,30,5,68,3.16,3.62,3.4,3.12,3.16
Calumet Queen,Kölsch,5.0,18,25,34,40,10,34,29,35,0,36,64,6,61,3.65,3.72,3.68,3.7,3.95
Früh Kölsch,Kölsch,4.8,18,25,25,34,11,30,47,35,1,38,73,12,83,3.72,3.74,3.75,3.91,4.16
Sünner Kölsch,Kölsch,4.8,18,25,37,32,12,34,33,30,0,39,71,4,69,3.61,3.7,3.75,3.73,4.05
Clearwater Kölsch,Kölsch,4.8,18,25,32,34,5,45,37,40,0,41,64,9,54,3.84,3.99,4.13,3.99,4.34
Curve Ball Blonde Ale,Kölsch,5.0,18,25,19,27,3,32,33,25,0,33,50,2,72,3.14,3.22,3.26,3.24,3.53
Saranac Kölsch,Kölsch,5.0,18,25,35,42,8,32,52,35,0,41,50,3,71,3.07,3.41,3.32,3.13,3.47
Kölsch,Kölsch,5.0,18,25,13,33,6,38,29,45,0,51,68,13,58,3.56,4.11,3.94,3.89,4.44
Krankshaft Kölsch,Kölsch,5.0,18,25,13,21,4,36,37,49,0,44,48,6,70,3.7,3.83,3.92,3.84,4.12
32°/50° Kölsch,Kölsch,4.8,18,25,30,39,3,32,46,34,0,41,61,9,91,4.02,4.08,4.13,4.24,4.52
Karnival Kolsch,Kölsch,4.8,18,25,39,38,10,41,26,35,1,42,69,12,69,3.69,3.9,3.91,3.87,4.08
Endless River,Kölsch,4.9,18,25,13,27,5,18,35,37,0,33,41,4,56,3.61,3.8,3.89,3.77,3.98
Lug Tread Lagered Ale,Kölsch,5.2,18,25,39,24,2,21,25,19,0,19,37,0,56,3.59,3.68,3.81,3.73,3.92
Geary's Summer Ale,Kölsch,6.0,18,25,29,55,17,50,47,41,0,30,76,7,88,3.49,3.67,3.66,3.67,3.74
Lancaster Kölsch,Kölsch,4.8,18,25,24,28,5,37,25,34,0,40,70,7,50,3.75,3.8,3.75,3.76,3.97
Dundee Kolsch Style Ale,Kölsch,5.1,18,25,19,34,12,40,59,46,0,47,60,13,85,3.39,3.55,3.48,3.43,3.64
Kölsch 151,Kölsch,5.0,18,25,27,25,4,34,20,16,0,23,47,5,39,3.5,3.81,3.88,3.84,4.12
HooDoo Kölsch Style Ale,Kölsch,4.0,18,25,27,55,16,43,45,37,2,43,62,7,93,3.5,3.88,3.75,3.88,4.0
Shiner Kölsch,Kölsch,4.9,18,25,13,39,5,46,58,37,1,39,69,6,64,3.19,3.41,3.54,3.5,3.83
Gateway Kolsch,Kölsch,5.3,18,25,35,31,5,30,30,15,1,22,54,4,47,3.64,3.69,3.77,3.73,4.03
Gold Spike Ale,Kölsch,4.2,18,25,13,36,9,30,34,31,0,32,60,13,58,3.48,3.73,3.75,3.68,3.95
Kolsch 45,Kölsch,6.5,18,25,32,47,22,66,51,59,0,78,81,19,100,3.75,4.08,4.17,4.25,4.25
Kolsch,Kölsch,4.83,18,25,29,31,2,29,16,18,0,18,39,0,45,3.44,4.0,4.12,3.75,3.94
Angry Angel,Kölsch,4.5,18,25,13,44,9,58,36,42,2,43,68,6,56,3.41,3.47,3.64,3.56,3.85
Josephs Brau Summer Brew,Kölsch,4.8,18,25,22,40,2,38,30,32,0,37,55,4,79,3.01,3.29,3.26,3.02,3.33
Sunbru,Kölsch,5.2,18,25,20,29,5,32,44,35,2,31,43,4,80,3.37,3.67,3.5,3.46,3.69
Budweiser,Lager - Adjunct,5.0,8,18,6,17,4,15,16,10,0,6,15,3,50,3.5,4.0,4.0,4.0,2.88
Pabst Blue Ribbon (PBR),Lager - Adjunct,4.74,8,18,13,19,6,8,16,10,1,9,15,1,23,2.68,4.0,3.01,3.1,3.61
Corona Extra,Lager - Adjunct,4.6,8,18,10,15,5,13,10,22,0,19,17,4,22,3.5,4.0,4.0,4.0,4.0
Miller High Life,Lager - Adjunct,4.6,8,18,15,16,5,8,12,3,0,3,14,5,30,3.5,4.0,2.86,2.89,3.36
Red Stripe Jamaican Lager,Lager - Adjunct,4.7,8,18,5,25,4,14,15,4,0,4,20,3,34,2.76,4.0,3.03,3.05,3.37
Rolling Rock Extra Pale,Lager - Adjunct,4.4,8,18,20,35,14,10,10,7,0,2,19,1,37,3.5,4.0,4.0,4.0,3.09
Dos Equis Special Lager,Lager - Adjunct,4.2,8,18,29,20,16,17,40,11,0,11,32,11,67,3.5,4.0,2.81,2.73,3.09
Modelo Especial,Lager - Adjunct,4.4,8,18,23,19,4,21,19,14,2,10,34,4,43,2.63,4.0,2.92,2.91,3.21
Miller Genuine Draft,Lager - Adjunct,4.66,8,18,12,20,3,7,23,11,2,8,9,0,35,3.5,4.0,4.0,4.0,4.0
Labatt Blue,Lager - Adjunct,5.0,8,18,16,22,6,15,36,9,0,23,20,2,32,3.5,4.0,4.0,4.0,3.06
Foster's Lager,Lager - Adjunct,5.0,8,18,17,30,7,25,24,5,0,4,31,1,38,3.5,4.0,4.0,4.0,2.88
Tecate,Lager - Adjunct,4.5,8,18,23,14,1,12,27,17,0,20,17,2,24,3.5,4.0,4.0,4.0,2.95
Landshark Lager,Lager - Adjunct,4.6,8,18,17,26,9,15,31,14,1,18,19,3,43,3.5,4.0,4.0,4.0,4.0
Molson Canadian Lager,Lager - Adjunct,5.0,8,18,31,36,11,7,27,7,0,9,11,2,65,2.67,4.0,2.98,2.94,3.29
Busch Beer,Lager - Adjunct,4.3,8,18,14,29,5,13,19,2,0,3,17,2,46,3.5,4.0,4.0,4.0,4.0
Sol,Lager - Adjunct,4.5,8,18,15,29,2,9,20,9,0,7,10,1,27,3.5,4.0,4.0,4.0,4.0
Natural Ice,Lager - Adjunct,5.9,8,18,4,19,13,9,17,5,0,5,11,1,18,3.5,4.0,4.0,4.0,4.0
Narragansett Lager,Lager - Adjunct,5.0,8,18,30,17,2,28,20,8,0,10,36,3,37,3.2,3.45,3.44,3.48,3.78
Icehouse,Lager - Adjunct,5.5,8,18,5,24,19,16,22,3,0,2,19,4,26,3.5,4.0,4.0,4.0,4.0
Batch 19Coors Brewing Company (Molson-Coors),Lager - Adjunct,5.5,8,18,8,16,7,23,20,8,0,2,26,4,43,3.33,3.59,3.5,3.43,3.43
Bud Ice,Lager - Adjunct,5.5,8,18,4,18,14,7,9,5,0,0,7,3,26,3.5,4.0,4.0,4.0,4.0
Hamm's,Lager - Adjunct,4.6,8,18,10,19,2,22,32,6,2,13,28,3,32,3.5,4.0,2.77,2.79,3.19
Lone Star Beer,Lager - Adjunct,4.65,8,18,15,20,7,21,22,6,2,3,29,1,46,3.5,4.0,4.0,4.0,4.0
Old Milwaukee Beer,Lager - Adjunct,4.6,8,18,7,18,3,11,10,3,0,4,17,4,29,3.5,4.0,4.0,4.0,4.0
Presidente,Lager - Adjunct,5.0,8,18,16,27,6,22,21,15,0,12,38,7,47,3.5,4.0,2.82,2.73,3.05
Milwaukee's Best,Lager - Adjunct,4.8,8,18,21,17,11,15,15,11,0,5,38,2,53,3.5,4.0,4.0,4.0,4.0
Red Dog,Lager - Adjunct,5.0,8,18,16,24,6,17,14,7,0,3,35,5,38,3.5,4.0,4.0,4.0,4.0
Keystone IceCoors Brewing Company (Molson-Coors),Lager - Adjunct,5.9,8,18,20,25,7,18,39,13,0,7,35,3,50,3.5,4.0,4.0,4.0,4.0
Old Style,Lager - Adjunct,4.64,8,18,13,25,12,20,16,9,0,2,25,4,34,2.7,4.0,2.95,2.98,3.32
Milwaukee's Best Ice,Lager - Adjunct,5.9,8,18,24,41,29,19,23,7,0,6,34,3,57,3.5,4.0,4.0,4.0,4.0
Genesee Beer,Lager - Adjunct,4.5,8,18,11,33,3,17,21,8,1,8,29,5,48,2.61,4.0,2.85,2.81,3.05
Original,Lager - Adjunct,4.6,8,18,17,28,4,29,24,9,0,5,42,3,43,2.74,3.06,2.96,2.98,3.28
Stroh's,Lager - Adjunct,4.6,8,18,17,20,8,29,24,6,0,5,49,11,51,2.7,4.0,2.88,3.01,3.26
Grain Belt Premium,Lager - Adjunct,4.7,8,18,15,17,8,8,37,13,0,17,26,4,56,3.04,3.27,3.27,3.4,3.74
Carta Blanca,Lager - Adjunct,4.5,8,18,33,26,4,12,28,10,0,12,23,4,39,3.5,4.0,2.79,2.75,3.03
Imperial,Lager - Adjunct,4.5,8,18,34,23,4,22,30,10,0,15,51,7,53,2.72,3.03,2.93,2.87,3.13
National Bohemian Beer,Lager - Adjunct,4.28,8,18,14,24,2,15,14,7,2,5,23,4,27,2.64,4.0,3.09,3.09,3.58
Iron City Beer,Lager - Adjunct,4.7,8,18,10,15,4,13,10,6,0,4,13,0,31,3.5,4.0,4.0,4.0,4.0
Schlitz (Classic 1960's Formula)JOS. Schlitz Brewing Co. (Pabst),Lager - Adjunct,4.7,8,18,16,19,5,24,12,10,0,7,45,4,45,3.39,3.51,3.66,3.76,3.96
Taj Mahal Premium Lager,Lager - Adjunct,4.5,8,18,32,22,2,26,22,7,0,4,54,9,64,3.5,4.0,4.0,4.0,4.0
Molson Ice,Lager - Adjunct,5.6,8,18,21,18,22,18,24,12,0,8,38,3,55,3.5,4.0,4.0,4.0,4.0
Lionshead Pilsner,Lager - Adjunct,4.5,8,18,21,34,7,16,39,11,1,8,17,1,44,2.82,4.0,3.05,3.08,3.52
Carib Lager,Lager - Adjunct,5.0,8,18,16,18,3,14,23,9,0,14,18,5,28,3.5,4.0,2.8,2.81,3.11
Birra Peroni,Lager - Adjunct,4.7,8,18,21,24,5,20,14,1,2,3,33,2,41,2.62,4.0,2.75,4.0,4.0
Super Bock,Lager - Adjunct,5.2,8,18,9,23,8,26,22,1,0,2,45,1,48,2.66,3.05,2.9,2.75,2.96
Lager,Lager - American Amber / Red,5.2,18,30,20,27,4,65,34,19,0,23,86,3,72,3.73,3.89,3.75,3.86,4.02
Toasted Lager,Lager - American Amber / Red,5.5,18,30,14,30,3,24,38,4,0,10,28,6,66,3.38,3.69,3.55,3.57,3.72
Amber,Lager - American Amber / Red,4.5,18,30,13,24,6,24,37,7,0,5,32,2,71,3.21,3.49,3.32,3.34,3.55
Original Honey Brown Extra Rich Lager (Beer Brewed With Honey),Lager - American Amber / Red,4.5,18,30,6,25,2,7,58,4,0,3,8,1,63,2.94,3.14,3.05,3.08,3.32
Riverwest Stein Beer,Lager - American Amber / Red,5.68,18,30,12,28,5,39,44,10,1,13,58,6,82,3.62,3.85,3.82,3.84,3.93
Vinyl,Lager - American Amber / Red,5.1,18,30,19,38,6,34,50,10,0,11,59,8,107,3.32,3.63,3.49,3.5,3.56
Barking Squirrel Lager,Lager - American Amber / Red,5.0,18,30,13,36,8,41,47,9,0,11,42,3,73,3.25,3.67,3.31,3.29,3.4
Redbridge,Lager - American Amber / Red,4.0,18,30,15,27,9,18,55,46,0,35,45,9,43,2.9,3.25,2.91,2.89,2.93
ZiegenBock Amber,Lager - American Amber / Red,4.9,18,30,7,22,9,19,39,9,0,9,21,0,55,2.65,3.12,2.83,2.79,3.07
Grain Belt Nordeast,Lager - American Amber / Red,4.7,18,30,9,17,5,22,26,7,0,6,29,2,64,3.24,3.66,3.48,3.53,3.75
Wisconsin Amber,Lager - American Amber / Red,5.2,18,30,36,35,6,33,69,24,0,21,38,8,103,3.55,3.73,3.68,3.65,3.79
Rickard's Red,Lager - American Amber / Red,5.2,18,30,13,29,4,20,65,23,0,23,29,4,66,2.81,3.48,2.99,2.98,3.25
Creemore Springs Premium Lager,Lager - American Amber / Red,5.0,18,30,26,33,4,38,38,15,1,10,52,5,63,3.56,3.83,3.82,3.92,3.96
Red Oak Amber,Lager - American Amber / Red,5.0,18,30,6,31,5,20,25,4,0,1,21,1,42,3.29,3.61,3.5,3.51,3.67
Texas Red Amber Lager,Lager - American Amber / Red,4.5,18,30,14,28,5,41,38,5,0,10,56,8,81,3.31,3.59,3.39,3.32,3.61
Point Classic Amber,Lager - American Amber / Red,4.9,18,30,22,39,5,42,70,12,0,14,71,11,102,3.06,3.42,3.18,3.15,3.4
Sleeman Honey Brown Lager,Lager - American Amber / Red,5.2,18,30,13,29,2,28,81,12,0,13,26,2,76,2.83,3.33,3.05,3.06,3.15
Winter Skål,Lager - American Amber / Red,5.8,18,30,15,49,13,49,54,14,1,15,69,9,123,3.67,3.78,3.77,3.79,3.92
Schell's Dark,Lager - American Amber / Red,4.8,18,30,8,38,5,26,57,9,0,11,39,2,96,3.26,3.45,3.14,3.24,3.38
Starr Hill Jomo Lager,Lager - American Amber / Red,5.57,18,30,21,32,7,43,30,35,0,21,58,7,66,3.41,3.66,3.58,3.53,3.75
Colorado Native Amber Lager,Lager - American Amber / Red,5.5,18,30,35,40,17,71,65,31,1,25,88,8,135,3.5,3.75,3.63,3.68,3.83
Fisherman's Brew,Lager - American Amber / Red,5.5,18,30,11,45,3,30,67,15,2,16,43,7,95,3.36,3.65,3.53,3.58,3.72
Michelob Honey Lager,Lager - American Amber / Red,4.9,18,30,10,30,8,28,117,5,0,5,36,1,109,3.5,3.09,4.0,4.0,4.0
Ornery Amber,Lager - American Amber / Red,5.4,18,30,13,35,7,40,82,42,0,45,45,5,99,3.13,3.35,3.15,3.09,3.26
Pre-Prohibition Style Lager,Lager - American Amber / Red,4.5,18,30,31,35,11,41,50,27,0,21,74,6,110,3.33,3.54,3.33,3.3,3.45
Trader Jose's Dark Lager,Lager - American Amber / Red,5.3,18,30,10,38,11,39,65,16,0,17,30,4,100,3.22,3.59,3.35,3.32,3.52
Hudepohl Amber Lager,Lager - American Amber / Red,5.0,18,30,8,26,9,20,47,13,2,10,31,1,70,3.35,3.73,3.62,3.77,4.03
Cypress Honey Lager,Lager - American Amber / Red,4.7,18,30,11,34,2,19,113,8,0,8,26,2,132,3.0,3.25,3.34,3.12,3.45
Rochester Red,Lager - American Amber / Red,6.3,18,30,6,36,3,27,48,13,0,15,37,1,81,2.92,3.75,3.0,3.17,3.75
Ruby Lager,Lager - American Amber / Red,4.0,18,30,20,40,3,35,50,15,0,15,47,4,77,3.27,3.55,3.55,3.36,3.59
Dundee Irish Red Lager,Lager - American Amber / Red,5.0,18,30,15,43,11,33,51,14,2,15,41,7,104,3.34,3.59,3.57,3.62,3.66
Muddy Creek Lager,Lager - American Amber / Red,5.6,18,30,17,40,7,43,36,11,0,12,51,4,71,3.44,3.88,3.69,3.62,3.59
Stegmaier Amber Lager,Lager - American Amber / Red,5.3,18,30,15,27,5,36,58,20,0,17,45,1,79,3.33,3.6,3.43,3.41,3.56
Mojave Red,Lager - American Amber / Red,5.0,18,30,8,38,9,39,74,20,1,27,37,1,80,2.83,3.17,2.83,2.71,4.0
Longboard Island Lager,Lager - American,4.6,30,45,22,25,6,32,23,20,0,18,35,5,39,3.19,3.34,3.47,3.44,3.63
Sapporo Premium Beer,Lager - American,4.9,30,45,18,15,1,7,16,8,0,9,12,0,36,2.68,3.07,2.96,2.92,3.17
Kirin Ichiban,Lager - American,5.0,30,45,22,23,5,24,25,10,0,17,39,3,60,3.5,4.0,4.0,4.0,4.0
Lager,Lager - American,5.0,30,45,35,26,3,35,31,12,2,8,56,7,40,2.82,3.05,3.0,2.97,3.26
Totally Naked,Lager - American,4.25,30,45,32,33,4,41,33,10,0,13,74,8,78,3.28,3.64,3.5,3.41,3.74
Michelob (Original Lager),Lager - American,5.0,30,45,22,17,5,21,8,2,0,3,26,2,40,2.6,4.0,2.82,2.86,3.17
Shiner Kosmos Reserve,Lager - American,4.98,30,45,20,29,9,39,33,21,0,22,51,4,46,3.15,3.34,3.36,3.38,3.52
Shiner Blonde,Lager - American,4.4,30,45,18,17,6,16,37,7,1,10,28,0,46,2.73,4.0,3.01,2.86,3.19
Molson Golden,Lager - American,5.0,30,45,16,20,6,25,14,9,0,2,33,4,43,3.5,4.0,2.85,2.76,3.03
